id,head,relation,tail,relation,tail,relation,tail
30,四层fpc板layout,包含,阻抗控制线,包含,三线差分（mipi c-phy）,走线（第3层）,地（第4层）挖空（重叠区域）
31,四层fpc板layout,包含,阻抗控制线,包含,三线差分（mipi c-phy）,走线（第3层）,参考地（第2层）
32,四层fpc板layout,包含,阻抗控制线,包含,三线差分（mipi c-phy）,走线（第3层）,线宽85um
33,四层fpc板layout,包含,阻抗控制线,包含,三线差分（mipi c-phy）,走线（第2层；射频线邻层耦合区域）,参考地（第1层）
34,四层fpc板layout,包含,阻抗控制线,包含,三线差分（mipi c-phy）,走线（第2层；射频线邻层耦合区域）,射频耦合线（第3层）
35,四层fpc板layout,包含,阻抗控制线,包含,三线差分（mipi c-phy）,走线（第2层；射频线邻层耦合区域）,线宽70um
36,四层fpc板layout,包含,阻抗控制线,包含,三线差分（mipi c-phy）,走线（第3层；射频线邻层耦合区域）,参考地（第4层）
37,四层fpc板layout,包含,阻抗控制线,包含,三线差分（mipi c-phy）,走线（第3层；射频线邻层耦合区域）,射频耦合线（第3层）
38,四层fpc板layout,包含,阻抗控制线,包含,三线差分（mipi c-phy）,走线（第3层；射频线邻层耦合区域）,线宽70um
39,四层fpc板layout,包含,阻抗控制线,包含,双线差分（mipi d-phy）,走线（第2层）,地（第1层）挖空（重叠区域）
40,四层fpc板layout,包含,阻抗控制线,包含,双线差分（mipi d-phy）,走线（第2层）,参考地（第3层）
41,四层fpc板layout,包含,阻抗控制线,包含,双线差分（mipi d-phy）,走线（第2层）,线宽82um
42,四层fpc板layout,包含,阻抗控制线,包含,双线差分（mipi d-phy）,走线（第2层）,线间距125um（线边缘到边缘）
43,四层fpc板layout,包含,阻抗控制线,包含,双线差分（mipi d-phy）,走线（第3层）,地（第4层）挖空（重叠区域）
44,四层fpc板layout,包含,阻抗控制线,包含,双线差分（mipi d-phy）,走线（第3层）,参考地（第2层）
45,四层fpc板layout,包含,阻抗控制线,包含,双线差分（mipi d-phy）,走线（第3层）,线宽82um
46,四层fpc板layout,包含,阻抗控制线,包含,双线差分（mipi d-phy）,走线（第3层）,线间距125um（线边缘到边缘）
47,四层fpc板layout,包含,阻抗控制线,包含,双线差分（mipi d-phy）,走线（第2层；射频线邻层耦合区域）,参考地（第1层）
48,四层fpc板layout,包含,阻抗控制线,包含,双线差分（mipi d-phy）,走线（第2层；射频线邻层耦合区域）,射频耦合线（第3层）
49,四层fpc板layout,包含,阻抗控制线,包含,双线差分（mipi d-phy）,走线（第2层；射频线邻层耦合区域）,线宽75um
50,四层fpc板layout,包含,阻抗控制线,包含,双线差分（mipi d-phy）,走线（第2层；射频线邻层耦合区域）,线间距125um（线边缘到边缘）
51,四层fpc板layout,包含,阻抗控制线,包含,双线差分（mipi d-phy）,走线（第3层；射频线邻层耦合区域）,参考地（第4层）
52,四层fpc板layout,包含,阻抗控制线,包含,双线差分（mipi d-phy）,走线（第3层；射频线邻层耦合区域）,射频耦合线（第3层）
53,四层fpc板layout,包含,阻抗控制线,包含,双线差分（mipi d-phy）,走线（第3层；射频线邻层耦合区域）,线宽75um
54,四层fpc板layout,包含,阻抗控制线,包含,双线差分（mipi d-phy）,走线（第3层；射频线邻层耦合区域）,线间距125um（线边缘到边缘）
55,四层fpc板layout,包含,阻抗控制线,包含,双线差分（mipi d-phy）,走线（第1层）,参考地（第2层）
56,四层fpc板layout,包含,阻抗控制线,包含,双线差分（mipi d-phy）,走线（第1层）,线宽75um
57,四层fpc板layout,包含,阻抗控制线,包含,双线差分（mipi d-phy）,走线（第1层）,线间距125um（线边缘到边缘）
58,四层fpc板layout,包含,阻抗控制线,包含,双线差分（mipi d-phy）,走线（第3层）,参考地（第4层）
59,四层fpc板layout,包含,阻抗控制线,包含,双线差分（mipi d-phy）,走线（第3层）,线宽75um
60,四层fpc板layout,包含,阻抗控制线,包含,双线差分（mipi d-phy）,走线（第3层）,线间距125um（线边缘到边缘）
61,四层fpc板layout,包含,阻抗控制线,包含,三线差分（mipi c-phy）,对内间距,2w
62,四层fpc板layout,包含,阻抗控制线,包含,三线差分（mipi c-phy）,对间（或铜箔）,3w
63,四层fpc板layout,包含,阻抗控制线,包含,双线差分（mipi d-phy）,对间（或铜箔）,3w
64,四层fpc板layout,包含,阻抗控制线,包含,三线差分（mipi c-phy）,对内对间,等长且<0.1mm
65,四层fpc板layout,包含,阻抗控制线,包含,双线差分（mipi d-phy）,对内对间,等长且<0.1mm
66,四层fpc板layout,包含,阻抗控制线,走线要求,少过孔,,
67,四层fpc板layout,包含,阻抗控制线,btb（top层）,第3层（过孔走线）,,
68,四层fpc板layout,包含,阻抗控制线,btb（bottom层）,第2层（过孔走线）,,
